cohort_month,months_since_first,active_customers,cohort_size,retention_rate
2016-09,0,4,4,1.0
2016-10,0,321,321,1.0
2016-10,6,1,321,0.003115264797507788
2016-10,9,1,321,0.003115264797507788
2016-10,11,1,321,0.003115264797507788
2016-10,13,1,321,0.003115264797507788
2016-10,15,1,321,0.003115264797507788
2016-10,17,1,321,0.003115264797507788
2016-10,19,2,321,0.006230529595015576
2016-10,20,2,321,0.006230529595015576
2016-12,0,1,1,1.0
2016-12,1,1,1,1.0
2017-01,0,764,764,1.0
2017-01,1,3,764,0.003926701570680628
2017-01,2,2,764,0.002617801047120419
2017-01,3,1,764,0.0013089005235602095
2017-01,4,3,764,0.003926701570680628
2017-01,5,1,764,0.0013089005235602095
2017-01,6,4,764,0.005235602094240838
2017-01,7,1,764,0.0013089005235602095
2017-01,8,1,764,0.0013089005235602095
2017-01,10,3,764,0.003926701570680628
2017-01,11,1,764,0.0013089005235602095
2017-01,12,6,764,0.007853403141361256
2017-01,13,3,764,0.003926701570680628
2017-01,14,1,764,0.0013089005235602095
2017-01,15,1,764,0.0013089005235602095
2017-01,16,2,764,0.002617801047120419
2017-01,17,3,764,0.003926701570680628
2017-01,19,1,764,0.0013089005235602095
2017-02,0,1752,1752,1.0
2017-02,1,4,1752,0.00228310502283105
2017-02,2,5,1752,0.0028538812785388126
2017-02,3,2,1752,0.001141552511415525
2017-02,4,7,1752,0.003995433789954338
2017-02,5,2,1752,0.001141552511415525
2017-02,6,4,1752,0.00228310502283105
2017-02,7,3,1752,0.0017123287671232876
2017-02,8,3,1752,0.0017123287671232876
2017-02,9,4,1752,0.00228310502283105
2017-02,10,2,1752,0.001141552511415525
2017-02,11,5,1752,0.0028538812785388126
2017-02,12,3,1752,0.0017123287671232876
2017-02,13,3,1752,0.0017123287671232876
2017-02,14,2,1752,0.001141552511415525
2017-02,15,1,1752,0.0005707762557077625
2017-02,16,1,1752,0.0005707762557077625
2017-02,17,4,1752,0.00228310502283105
2017-03,0,2636,2636,1.0
2017-03,1,13,2636,0.004931714719271623
2017-03,2,10,2636,0.0037936267071320183
2017-03,3,10,2636,0.0037936267071320183
2017-03,4,9,2636,0.0034142640364188165
2017-03,5,4,2636,0.0015174506828528073
2017-03,6,4,2636,0.0015174506828528073
2017-03,7,8,2636,0.0030349013657056147
2017-03,8,9,2636,0.0034142640364188165
2017-03,9,2,2636,0.0007587253414264037
2017-03,10,10,2636,0.0037936267071320183
2017-03,11,4,2636,0.0015174506828528073
2017-03,12,6,2636,0.002276176024279211
2017-03,13,3,2636,0.0011380880121396055
2017-03,14,4,2636,0.0015174506828528073
2017-03,15,6,2636,0.002276176024279211
2017-03,16,2,2636,0.0007587253414264037
2017-03,17,4,2636,0.0015174506828528073
2017-04,0,2352,2352,1.0
2017-04,1,14,2352,0.005952380952380952
2017-04,2,5,2352,0.0021258503401360546
2017-04,3,4,2352,0.0017006802721088435
2017-04,4,8,2352,0.003401360544217687
2017-04,5,6,2352,0.002551020408163265
2017-04,6,8,2352,0.003401360544217687
2017-04,7,7,2352,0.002976190476190476
2017-04,8,7,2352,0.002976190476190476
2017-04,9,4,2352,0.0017006802721088435
2017-04,10,6,2352,0.002551020408163265
2017-04,11,2,2352,0.0008503401360544217
2017-04,12,2,2352,0.0008503401360544217
2017-04,13,1,2352,0.00042517006802721087
2017-04,14,2,2352,0.0008503401360544217
2017-04,15,2,2352,0.0008503401360544217
2017-04,16,5,2352,0.0021258503401360546
2017-05,0,3596,3596,1.0
2017-05,1,18,3596,0.005005561735261402
2017-05,2,18,3596,0.005005561735261402
2017-05,3,14,3596,0.00389321468298109
